"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8490","Citizen Search - Address Tab","chromium","2026-05-20","passed","2026-05-20","Citizen Search Functionality","citizen_search.spec.ts","",""
"","93090","Citizen Update - Photo & Signature","chromium","2026-05-22","failed","2026-05-22","Citizen Search Functionality","citizen_update.spec.ts","",""
"","41337","Citizen Search - Other Information","chromium","2026-05-20","passed","2026-05-20","Citizen Search Functionality","citizen_search.spec.ts","",""
"","22642","Citizen Search - Cards","chromium","2026-05-20","failed","2026-05-20","Citizen Search Functionality","citizen_search.spec.ts","",""
"","6554","Citizen Search - Basic Information","chromium","2026-05-20","passed","2026-05-20","Citizen Search Functionality","citizen_search.spec.ts","",""
"","6733","Citizen Search - Relationship","chromium","2026-05-20","passed","2026-05-20","Citizen Search Functionality","citizen_search.spec.ts","",""
"","37818","Citizen Update - Edit Valid ID","chromium","2026-05-22","passed","2026-05-22","Citizen Search Functionality","citizen_update.spec.ts","",""
"","7414","Citizen Search - Contact","chromium","2026-05-20","passed","2026-05-20","Citizen Search Functionality","citizen_search.spec.ts","",""
"","23057","Citizen Search - Valid ID","chromium","2026-05-20","passed","2026-05-20","Citizen Search Functionality","citizen_search.spec.ts","",""
"","10550","Citizen Update - Edit Address Tab","chromium","2026-05-22","passed","2026-05-22","Citizen Search Functionality","citizen_update.spec.ts","",""
"","8946","Citizen Update - Edit Basic Information","chromium","2026-05-22","passed","2026-05-22","Citizen Search Functionality","citizen_update.spec.ts","",""
"","15715","Citizen Update - Edit Other Information","chromium","2026-05-22","failed","2026-05-22","Citizen Search Functionality","citizen_update.spec.ts","",""
"","8967","Citizen Search - Photo & Signature","chromium","2026-05-20","passed","2026-05-20","Citizen Search Functionality","citizen_search.spec.ts","",""
"","6798","Citizen Search - Proof of Billing","chromium","2026-05-20","passed","2026-05-20","Citizen Search Functionality","citizen_search.spec.ts","",""
"","9674","Citizen Update - Edit Relationship","chromium","2026-05-22","passed","2026-05-22","Citizen Search Functionality","citizen_update.spec.ts","",""
"","12890","Citizen Update - Edit Proof of Billing","chromium","2026-05-22","passed","2026-05-22","Citizen Search Functionality","citizen_update.spec.ts","",""
